"Year","State","FIPS","All low-risk births","Low-risk cesarean births","low_risk_cesarean_rate"
2016,"Alabama",1,19029,5318,0.279468180146093
2016,"Alaska",2,3437,656,0.19086412569101
2016,"Arizona",4,25824,5591,0.216504027261462
2016,"Arkansas",5,11788,2944,0.249745503902273
2016,"California",6,162397,40487,0.249308792650111
2016,"Colorado",8,22603,4613,0.204087952926603
2016,"Connecticut",9,12425,3623,0.29158953722334
2016,"Delaware",10,3627,862,0.237661979597463
2016,"District of Columbia",11,3882,1051,0.270736733642452
2016,"Florida",12,76403,23932,0.313233773542924
2016,"Georgia",13,41118,11559,0.281117758645849
2016,"Hawaii",15,5671,1122,0.197848703932287
2016,"Idaho",16,6473,1169,0.18059632318863
2016,"Illinois",17,49207,12169,0.247302213099762
2016,"Indiana",18,26026,6140,0.235917928225621
2016,"Iowa",19,11922,2854,0.239389364200637
2016,"Kansas",20,11515,2739,0.237863656100738
2016,"Kentucky",21,17751,4819,0.271477663230241
2016,"Louisiana",22,19332,5969,0.308762673287813
2016,"Maine",23,4657,1042,0.223749194760575
2016,"Maryland",24,24380,6935,0.284454470877769
2016,"Massachusetts",25,25752,6284,0.244019881950916
2016,"Michigan",26,35368,9440,0.266907939380231
2016,"Minnesota",27,21359,4651,0.217753640151692
2016,"Mississippi",28,11423,3638,0.318480259126324
2016,"Missouri",29,23627,5702,0.241334066957295
2016,"Montana",30,3919,904,0.230671089563664
2016,"Nebraska",31,7406,1765,0.238320280853362
2016,"Nevada",32,11551,3321,0.287507575101723
2016,"New Hampshire",33,4549,1192,0.262035612222466
2016,"New Jersey",34,34721,10479,0.301805823564989
2016,"New Mexico",35,7509,1387,0.184711679318152
2016,"New York",36,82034,23301,0.28404076358583
2016,"North Carolina",37,40743,9355,0.229609994354859
2016,"North Dakota",38,3457,655,0.189470639282615
2016,"Ohio",39,43744,10805,0.247005303584492
2016,"Oklahoma",40,15959,3723,0.23328529356476
2016,"Oregon",41,15506,3431,0.221269186121501
2016,"Pennsylvania",42,46300,11424,0.246738660907127
2016,"Rhode Island",44,3653,909,0.248836572679989
2016,"South Carolina",45,18563,4825,0.259925658568119
2016,"South Dakota",46,3531,732,0.207306711979609
2016,"Tennessee",47,24728,6555,0.265084115173083
2016,"Texas",48,126627,34240,0.270400467514827
2016,"Utah",49,13986,2355,0.168382668382668
2016,"Vermont",50,2074,450,0.216972034715526
2016,"Virginia",51,33122,8908,0.268945112010144
2016,"Washington",53,31279,7043,0.225167044982256
2016,"West Virginia",54,6116,1652,0.270111183780249
2016,"Wisconsin",55,20358,4479,0.220011788977306
2016,"Wyoming",56,2176,415,0.190716911764706
2017,"Alabama",1,19145,5406,0.28237137633847
2017,"Alaska",2,3185,613,0.192464678178964
2017,"Arizona",4,24995,5143,0.205761152230446
2017,"Arkansas",5,10958,2911,0.26565066617996
2017,"California",6,157633,38528,0.244415826635286
2017,"Colorado",8,22083,4761,0.215595707105013
2017,"Connecticut",9,12304,3473,0.282265929778934
2017,"Delaware",10,3511,875,0.249216747365423
2017,"District of Columbia",11,3732,1070,0.286709539121115
2017,"Florida",12,76009,23575,0.310160638871713
2017,"Georgia",13,41419,11539,0.278591950554094
2017,"Hawaii",15,5683,1177,0.20710892134436
2017,"Idaho",16,6613,1200,0.181460759110842
2017,"Illinois",17,47455,11902,0.250806026762196
2017,"Indiana",18,25361,5940,0.234217893616182
2017,"Iowa",19,11537,2773,0.240357111900841
2017,"Kansas",20,11089,2641,0.238163946253044
2017,"Kentucky",21,17328,4907,0.283183287165282
2017,"Louisiana",22,18810,5718,0.303987240829346
2017,"Maine",23,4434,1054,0.237708615245828
2017,"Maryland",24,23573,6652,0.282187248122852
2017,"Massachusetts",25,26102,6702,0.256761933951421
2017,"Michigan",26,34863,9275,0.266041361902303
2017,"Minnesota",27,20941,4898,0.233895229454181
2017,"Mississippi",28,11263,3466,0.307733285980645
2017,"Missouri",29,22541,5363,0.237922008783994
2017,"Montana",30,3817,907,0.237621168456903
2017,"Nebraska",31,7208,1797,0.249306326304107
2017,"Nevada",32,11439,3268,0.285689308505988
2017,"New Hampshire",33,4387,1106,0.252108502393435
2017,"New Jersey",34,34450,10082,0.292656023222061
2017,"New Mexico",35,7128,1302,0.182659932659933
2017,"New York",36,79359,23033,0.290238032233269
2017,"North Carolina",37,40676,9449,0.232299144458649
2017,"North Dakota",38,3150,699,0.221904761904762
2017,"Ohio",39,43158,10484,0.242921358728393
2017,"Oklahoma",40,15191,3766,0.247909946678955
2017,"Oregon",41,14653,3308,0.225755817921245
2017,"Pennsylvania",42,45691,11723,0.256571316014095
2017,"Rhode Island",44,3690,939,0.254471544715447
2017,"South Carolina",45,18160,4899,0.26976872246696
2017,"South Dakota",46,3382,603,0.178296865759905
2017,"Tennessee",47,26299,7067,0.268717441727822
2017,"Texas",48,119980,34302,0.285897649608268
2017,"Utah",49,13943,2461,0.176504339094886
2017,"Vermont",50,2088,416,0.199233716475096
2017,"Virginia",51,32827,8660,0.263807231851829
2017,"Washington",53,29958,6923,0.231090192936778
2017,"West Virginia",54,5989,1654,0.27617298380364
2017,"Wisconsin",55,19536,4221,0.216062653562654
2017,"Wyoming",56,2149,455,0.211726384364821
2018,"Alabama",1,18728,5358,0.286095685604443
2018,"Alaska",2,3052,510,0.167103538663172
2018,"Arizona",4,25177,5360,0.212892719545617
2018,"Arkansas",5,11335,3217,0.283811204234671
2018,"California",6,153579,36856,0.239980726531622
2018,"Colorado",8,21641,4594,0.212282242040571
2018,"Connecticut",9,12002,3528,0.293951008165306
2018,"Delaware",10,3333,802,0.240624062406241
2018,"District of Columbia",11,3650,1021,0.27972602739726
2018,"Florida",12,74451,22605,0.303622516823145
2018,"Georgia",13,41221,11476,0.278401785497683
2018,"Hawaii",15,5267,1179,0.223846591987849
2018,"Idaho",16,6386,1184,0.185405574694645
2018,"Illinois",17,45850,11559,0.252104689203926
2018,"Indiana",18,25010,5883,0.235225909636146
2018,"Iowa",19,11154,2610,0.233996772458311
2018,"Kansas",20,11130,2697,0.242318059299191
2018,"Kentucky",21,17109,4752,0.277748553392951
2018,"Louisiana",22,18163,5314,0.292572812861311
2018,"Maine",23,4442,1112,0.25033768572715
2018,"Maryland",24,23333,6574,0.281746882098316
2018,"Massachusetts",25,25876,6568,0.253825939094141
2018,"Michigan",26,34850,9510,0.272883787661406
2018,"Minnesota",27,20260,4647,0.229368213228036
2018,"Mississippi",28,10895,3397,0.311794401101423
2018,"Missouri",29,22704,5420,0.238724453840733
2018,"Montana",30,3603,818,0.227033028032195
2018,"Nebraska",31,7175,1615,0.225087108013937
2018,"Nevada",32,11253,3150,0.279925353239136
2018,"New Hampshire",33,4354,1177,0.270326136885622
2018,"New Jersey",34,34388,9545,0.277567756194021
2018,"New Mexico",35,7130,1401,0.196493688639551
2018,"New York",36,78268,22636,0.289211427403281
2018,"North Carolina",37,40201,9347,0.232506654063332
2018,"North Dakota",38,3167,611,0.192927060309441
2018,"Ohio",39,42221,10710,0.253665237677933
2018,"Oklahoma",40,14889,3659,0.2457518973739
2018,"Oregon",41,14432,3442,0.2384977827051
2018,"Pennsylvania",42,44598,11192,0.250952957531728
2018,"Rhode Island",44,3556,988,0.277840269966254
2018,"South Carolina",45,18488,4967,0.268660752920813
2018,"South Dakota",46,3359,629,0.187258112533492
2018,"Tennessee",47,26168,6920,0.264445123815347
2018,"Texas",48,118571,34027,0.286975736056877
2018,"Utah",49,13886,2539,0.182846031974651
2018,"Vermont",50,1880,381,0.202659574468085
2018,"Virginia",51,33231,8588,0.258433390508862
2018,"Washington",53,28864,6653,0.230494733924612
2018,"West Virginia",54,5848,1598,0.273255813953488
2018,"Wisconsin",55,19145,4275,0.223295899712719
2018,"Wyoming",56,2059,421,0.204468188440991
2019,"Alabama",1,18655,5290,0.283570088448137
2019,"Alaska",2,2967,508,0.171216717222784
2019,"Arizona",4,24946,5469,0.219233544456025
2019,"Arkansas",5,11159,3090,0.276906532843445
2019,"California",6,152871,36402,0.238122338442216
2019,"Colorado",8,21908,4684,0.213803176921672
2019,"Connecticut",9,12030,3479,0.289193682460515
2019,"Delaware",10,3459,845,0.244290257299798
2019,"District of Columbia",11,3447,963,0.279373368146214
2019,"Florida",12,73420,21705,0.295627894306728
2019,"Georgia",13,41632,11744,0.282090699461952
2019,"Hawaii",15,5276,1218,0.230856709628506
2019,"Idaho",16,6681,1272,0.190390660080826
2019,"Illinois",17,44952,11098,0.246885566826838
2019,"Indiana",18,25081,5769,0.230014752202863
2019,"Iowa",19,11186,2645,0.236456284641516
2019,"Kansas",20,10718,2601,0.242675872364247
2019,"Kentucky",21,16743,4484,0.267813414561309
2019,"Louisiana",22,18041,5146,0.285239177429189
2019,"Maine",23,4119,1043,0.253216800194222
2019,"Maryland",24,23216,6417,0.276404203997243
2019,"Massachusetts",25,25983,6453,0.248354693453412
2019,"Michigan",26,34120,9054,0.265357561547479
2019,"Minnesota",27,19886,4739,0.23830835763854
2019,"Mississippi",28,10948,3366,0.307453416149068
2019,"Missouri",29,22511,5380,0.23899426946826
2019,"Montana",30,3561,827,0.232238135355237
2019,"Nebraska",31,7138,1511,0.211683945082656
2019,"Nevada",32,11284,3019,0.267546969159872
2019,"New Hampshire",33,4209,1094,0.25991922071751
2019,"New Jersey",34,34031,9070,0.26652170080221
2019,"New Mexico",35,7180,1527,0.212674094707521
2019,"New York",36,77107,21665,0.280973193095309
2019,"North Carolina",37,40156,9019,0.224599063651758
2019,"North Dakota",38,3137,577,0.183933694612687
2019,"Ohio",39,42210,10805,0.255981994787965
2019,"Oklahoma",40,15010,3670,0.244503664223851
2019,"Oregon",41,14329,3354,0.234070765580292
2019,"Pennsylvania",42,43963,11061,0.251597934626845
2019,"Rhode Island",44,3521,975,0.276909968758875
2019,"South Carolina",45,18586,4993,0.268643064672334
2019,"South Dakota",46,3274,625,0.190897984117288
2019,"Tennessee",47,26245,6689,0.254867593827396
2019,"Texas",48,121391,34464,0.283909021261873
2019,"Utah",49,13851,2593,0.187206699877265
2019,"Vermont",50,1909,397,0.207962283918282
2019,"Virginia",51,32843,8615,0.26230855890144
2019,"Washington",53,28543,6505,0.227901762253442
2019,"West Virginia",54,5811,1528,0.26294957838582
2019,"Wisconsin",55,19167,4141,0.216048416549277
2019,"Wyoming",56,2065,428,0.20726392251816
2020,"Alabama",1,18602,5386,0.289538759273196
2020,"Alaska",2,2848,519,0.182233146067416
2020,"Arizona",4,24679,5627,0.228007617812715
2020,"Arkansas",5,10944,2898,0.264802631578947
2020,"California",6,144995,34801,0.240015172936998
2020,"Colorado",8,22141,5028,0.227090014001174
2020,"Connecticut",9,11918,3323,0.278821949991609
2020,"Delaware",10,3468,856,0.246828143021915
2020,"District of Columbia",11,3456,961,0.27806712962963
2020,"Florida",12,71785,20563,0.286452601518423
2020,"Georgia",13,41415,11453,0.27654231558614
2020,"Hawaii",15,5407,1241,0.229517292398742
2020,"Idaho",16,6754,1217,0.180189517323068
2020,"Illinois",17,43046,10642,0.247223900013939
2020,"Indiana",18,24481,5982,0.244352763367509
2020,"Iowa",19,10870,2690,0.247470101195952
2020,"Kansas",20,10687,2630,0.246093384485824
2020,"Kentucky",21,16713,4622,0.276551187698199
2020,"Louisiana",22,17562,5158,0.293702311809589
2020,"Maine",23,4075,957,0.234846625766871
2020,"Maryland",24,22771,6542,0.287295243950639
2020,"Massachusetts",25,25271,6675,0.264136757548178
2020,"Michigan",26,33452,9173,0.274213798876001
2020,"Minnesota",27,19418,4786,0.246472345246678
2020,"Mississippi",28,11035,3408,0.308835523334844
2020,"Missouri",29,21581,4957,0.229692785320421
2020,"Montana",30,3482,755,0.216829408385985
2020,"Nebraska",31,6987,1495,0.213968799198512
2020,"Nevada",32,11023,2994,0.271613898212828
2020,"New Hampshire",33,4376,1185,0.270795246800731
2020,"New Jersey",34,33931,8795,0.259202499189532
2020,"New Mexico",35,7186,1508,0.209852490954634
2020,"New York",36,72437,20768,0.286704308571586
2020,"North Carolina",37,39569,9332,0.235841188809422
2020,"North Dakota",38,3068,623,0.203063885267275
2020,"Ohio",39,41162,10836,0.26325251445508
2020,"Oklahoma",40,14210,3387,0.23835327234342
2020,"Oregon",41,13978,3493,0.249892688510517
2020,"Pennsylvania",42,43025,10931,0.254061592097618
2020,"Rhode Island",44,3677,1077,0.292901822137612
2020,"South Carolina",45,18227,5000,0.274318318977341
2020,"South Dakota",46,3185,628,0.197174254317111
2020,"Tennessee",47,26071,6764,0.259445360745656
2020,"Texas",48,121529,34281,0.282080820215751
2020,"Utah",49,13743,2666,0.193989667467074
2020,"Vermont",50,1837,417,0.227000544365814
2020,"Virginia",51,32157,8610,0.267748857169512
2020,"Washington",53,28155,6763,0.240206002486237
2020,"West Virginia",54,5571,1498,0.268892478908634
2020,"Wisconsin",55,18710,4051,0.216515232495991
2020,"Wyoming",56,1943,351,0.180648481729285
2021,"Alabama",1,18794,5591,0.29748856017878
2021,"Alaska",2,2826,562,0.198867657466384
2021,"Arizona",4,25083,5822,0.232109396802615
2021,"Arkansas",5,11341,3177,0.280134026981748
2021,"California",6,144734,35721,0.246804482706206
2021,"Colorado",8,22622,5038,0.222703562903368
2021,"Connecticut",9,12386,3575,0.288632326820604
2021,"Delaware",10,3522,914,0.259511641113004
2021,"District of Columbia",11,3396,937,0.275912838633687
2021,"Florida",12,73480,21227,0.288881328252586
2021,"Georgia",13,41325,11908,0.288154869933454
2021,"Hawaii",15,5039,1147,0.227624528676325
2021,"Idaho",16,6974,1325,0.189991396616002
2021,"Illinois",17,42337,10717,0.253135555188133
2021,"Indiana",18,24633,6018,0.244306418219462
2021,"Iowa",19,11036,2597,0.235320768394346
2021,"Kansas",20,10601,2537,0.239317045561739
2021,"Kentucky",21,16314,4460,0.273384822851539
2021,"Louisiana",22,17540,5231,0.298232611174458
2021,"Maine",23,4164,1052,0.252641690682037
2021,"Maryland",24,22383,6550,0.292632801679846
2021,"Massachusetts",25,25420,6610,0.260031471282455
2021,"Michigan",26,33011,9273,0.280906364545152
2021,"Minnesota",27,19361,4940,0.255152109911678
2021,"Mississippi",28,10803,3368,0.311765250393409
2021,"Missouri",29,21284,5164,0.242623566998684
2021,"Montana",30,3742,826,0.220737573490112
2021,"Nebraska",31,7135,1588,0.222564821303434
2021,"Nevada",32,10829,2877,0.265675500969619
2021,"New Hampshire",33,4651,1325,0.284884970973984
2021,"New Jersey",34,34733,8865,0.255232775746408
2021,"New Mexico",35,7073,1575,0.222677788774212
2021,"New York",36,71516,21347,0.298492645002517
2021,"North Carolina",37,40747,9780,0.240017670012516
2021,"North Dakota",38,3003,603,0.200799200799201
2021,"Ohio",39,41007,10653,0.259784914770649
2021,"Oklahoma",40,14808,3612,0.243922204213938
2021,"Oregon",41,14241,3557,0.249771785689207
2021,"Pennsylvania",42,42705,10823,0.253436365765133
2021,"Rhode Island",44,3776,1097,0.29051906779661
2021,"South Carolina",45,18908,5101,0.26977998730696
2021,"South Dakota",46,3240,588,0.181481481481481
2021,"Tennessee",47,27385,7293,0.266313675369728
2021,"Texas",48,122302,34610,0.282988013278605
2021,"Utah",49,14044,2723,0.193890629450299
2021,"Vermont",50,1934,440,0.227507755946225
2021,"Virginia",51,32354,8649,0.267323978487977
2021,"Washington",53,27318,6670,0.24416135881104
2021,"West Virginia",54,5554,1475,0.26557436082103
2021,"Wisconsin",55,19010,4418,0.232403997895844
2021,"Wyoming",56,1934,393,0.203205791106515
